z_m,initial_buoyancy_m_s-2,initial_passive_tracer,final_les_buoyancy_m_s-2,final_les_passive_tracer
-1.4100000000e+02,-4.7443063803e-04,-5.2221329609e-02,-4.7338190089e-04,-1.8637268707e+00
-1.3900000000e+02,-4.7043063803e-04,-5.2221052099e-02,-4.6900926985e-04,-1.8533229843e+00
-1.3700000000e+02,-4.6643063803e-04,-5.2220046795e-02,-4.6455494824e-04,-1.8391185382e+00
-1.3500000000e+02,-4.6243063802e-04,-5.2216663752e-02,-4.6005515459e-04,-1.8208680784e+00
-1.3300000000e+02,-4.5843063802e-04,-5.2206074940e-02,-4.5545422127e-04,-1.7899473703e+00
-1.3100000000e+02,-4.5443063802e-04,-5.2174566975e-02,-4.5077164340e-04,-1.7430703677e+00
-1.2900000000e+02,-4.5043063801e-04,-5.2083856550e-02,-4.4597659832e-04,-1.6747547778e+00
-1.2700000000e+02,-4.4643063800e-04,-5.1848215575e-02,-4.4109484700e-04,-1.5700742835e+00
-1.2500000000e+02,-4.4243063799e-04,-5.1280414388e-02,-4.3634321062e-04,-1.4314782196e+00
-1.2300000000e+02,-4.3843063798e-04,-4.9958504376e-02,-4.3170143856e-04,-1.2469952867e+00
-1.2100000000e+02,-4.3443063797e-04,-4.7107970430e-02,-4.2725602394e-04,-1.0189235768e+00
-1.1900000000e+02,-4.3043063795e-04,-4.1481276999e-02,-4.2289931626e-04,-7.2343633233e-01
-1.1700000000e+02,-4.2643063792e-04,-3.0830950087e-02,-4.1873559775e-04,-3.4226169012e-01
-1.1500000000e+02,-4.2243063789e-04,-1.2259273628e-02,-4.1477114623e-04,1.2147636894e-01
-1.1300000000e+02,-4.1843063785e-04,1.7509159178e-02,-4.1112076288e-04,6.7937927304e-01
-1.1100000000e+02,-4.1443063779e-04,6.3103221807e-02,-4.0785001574e-04,1.3357256002e+00
-1.0900000000e+02,-4.1043063773e-04,1.2601852288e-01,-4.0475392805e-04,2.0661044454e+00
-1.0700000000e+02,-4.0643063764e-04,2.0705434169e-01,-4.0185578651e-04,2.8207195739e+00
-1.0500000000e+02,-4.0243063753e-04,3.0194948483e-01,-3.9930100030e-04,3.5060090024e+00
-1.0300000000e+02,-3.9843063738e-04,4.0230669856e-01,-3.9689584709e-04,4.0856167545e+00
-1.0100000000e+02,-3.9443063720e-04,4.9579263379e-01,-3.9457339986e-04,4.5140132418e+00
-9.9000000000e+01,-3.9043063695e-04,5.6884387536e-01,-3.9270068928e-04,4.7792930362e+00
-9.7000000000e+01,-3.8643063664e-04,6.0849803572e-01,-3.9096266781e-04,4.9275947352e+00
-9.5000000000e+01,-3.8243063625e-04,6.0889699790e-01,-3.8939357592e-04,4.9662707703e+00
-9.3000000000e+01,-3.7843063575e-04,5.6855943140e-01,-3.8792435728e-04,4.8972791491e+00
-9.1000000000e+01,-3.7443063509e-04,4.9596879087e-01,-3.8663496856e-04,4.7632639590e+00
-8.9000000000e+01,-3.7043063425e-04,4.0227893196e-01,-3.8551203460e-04,4.5919187423e+00
-8.7000000000e+01,-3.6643063319e-04,3.0192490198e-01,-3.8448530232e-04,4.4303315475e+00
-8.5000000000e+01,-3.6243063179e-04,2.0703372646e-01,-3.8373246441e-04,4.2540824544e+00
-8.3000000000e+01,-3.5843063003e-04,1.2608989374e-01,-3.8300631402e-04,4.0513300219e+00
-8.1000000000e+01,-3.5443062779e-04,6.2944099423e-02,-3.8249247184e-04,3.8326135473e+00
-7.9000000000e+01,-3.5043062488e-04,1.7765496630e-02,-3.8214954768e-04,3.6341432103e+00
-7.7000000000e+01,-3.4643062113e-04,-1.2419732967e-02,-3.8180806802e-04,3.4472615321e+00
-7.5000000000e+01,-3.4243061633e-04,-3.0810016320e-02,-3.8146143975e-04,3.2702928405e+00
-7.3000000000e+01,-3.3843060993e-04,-4.1521898693e-02,-3.8125091611e-04,3.0945454685e+00
-7.1000000000e+01,-3.3077657505e-04,-4.7119179360e-02,-3.8114017616e-04,2.9371534986e+00
-6.9000000000e+01,-3.1077656484e-04,-4.9966944488e-02,-3.8087266439e-04,2.7906399883e+00
-6.7000000000e+01,-2.9077655185e-04,-5.1275872948e-02,-3.8065444229e-04,2.6089022117e+00
-6.5000000000e+01,-2.7077653515e-04,-5.1850778410e-02,-3.8043593847e-04,2.4421143451e+00
-6.3000000000e+01,-2.5077651362e-04,-5.2085539344e-02,-3.8039369946e-04,2.2886947079e+00
-6.1000000000e+01,-2.3077648590e-04,-5.2173942130e-02,-3.8038868068e-04,2.1190865208e+00
-5.9000000000e+01,-2.1077645014e-04,-5.2206297740e-02,-3.8047844818e-04,1.9806401743e+00
-5.7000000000e+01,-1.9077640462e-04,-5.2216694954e-02,-3.8071848240e-04,1.8698797323e+00
-5.5000000000e+01,-1.7077634585e-04,-5.2220081842e-02,-3.8088552458e-04,1.7699044899e+00
-5.3000000000e+01,-1.5077627162e-04,-5.2221058105e-02,-3.8123227030e-04,1.6772877686e+00
-5.1000000000e+01,-1.3077617427e-04,-5.2221329808e-02,-3.8166959899e-04,1.5917571601e+00
-4.9000000000e+01,-1.1077605231e-04,-5.2221400820e-02,-3.8179958456e-04,1.5044279672e+00
-4.7000000000e+01,-9.3999280902e-05,-5.2221417424e-02,-3.8184612790e-04,1.4245104729e+00
-4.5000000000e+01,-8.9999075356e-05,-5.2221421375e-02,-3.8204499719e-04,1.3427247948e+00
-4.3000000000e+01,-8.5998809787e-05,-5.2221422183e-02,-3.8230094895e-04,1.2689827865e+00
-4.1000000000e+01,-8.1998478421e-05,-5.2221422350e-02,-3.8263036082e-04,1.1986130303e+00
-3.9000000000e+01,-7.7998042890e-05,-5.2221422382e-02,-3.8298874030e-04,1.1388153662e+00
-3.7000000000e+01,-7.3997481281e-05,-5.2221422387e-02,-3.8320459913e-04,1.0935539717e+00
-3.5000000000e+01,-6.9996774694e-05,-5.2221422388e-02,-3.8354791063e-04,1.0502532373e+00
-3.3000000000e+01,-6.5995865464e-05,-5.2221422388e-02,-3.8396600165e-04,1.0032160949e+00
-3.1000000000e+01,-6.1994679269e-05,-5.2221422388e-02,-3.8401660111e-04,9.6086006857e-01
-2.9000000000e+01,-5.7993165948e-05,-5.2221422388e-02,-3.8428331261e-04,9.1283253794e-01
-2.7000000000e+01,-5.3991229710e-05,-5.2221422388e-02,-3.8443257116e-04,8.7618387930e-01
-2.5000000000e+01,-4.9988786445e-05,-5.2221422388e-02,-3.8495206614e-04,8.5765408679e-01
-2.3000000000e+01,-4.5985548175e-05,-5.2221422388e-02,-3.8563378654e-04,8.2477115354e-01
-2.1000000000e+01,-4.1981409734e-05,-5.2221422388e-02,-3.8614361514e-04,8.0284433703e-01
-1.9000000000e+01,-3.7976114851e-05,-5.2221422388e-02,-3.8668068720e-04,7.8951377866e-01
-1.7000000000e+01,-3.3969408777e-05,-5.2221422388e-02,-3.8774320759e-04,7.6489648336e-01
-1.5000000000e+01,-2.9960775902e-05,-5.2221422388e-02,-3.8897029344e-04,7.4595208865e-01
-1.3000000000e+01,-2.5949637720e-05,-5.2221422388e-02,-3.9020827032e-04,7.3661225549e-01
-1.1000000000e+01,-2.1935262294e-05,-5.2221422388e-02,-3.9158348416e-04,7.3561083940e-01
-9.0000000000e+00,-1.7916963283e-05,-5.2221422388e-02,-3.9361408950e-04,7.4230178909e-01
-7.0000000000e+00,-1.3893407905e-05,-5.2221422388e-02,-3.9696609460e-04,7.5141923834e-01
-5.0000000000e+00,-9.8633299965e-06,-5.2221422388e-02,-4.0166766413e-04,7.6766810316e-01
-3.0000000000e+00,-5.8132658463e-06,-5.2221422388e-02,-4.0903854392e-04,7.9619623958e-01
-1.0000000000e+00,-1.6150161593e-04,-5.2221422388e-02,-4.6308164234e-04,8.2809703247e-01
