z_m,initial_buoyancy_m_s-2,initial_passive_tracer,final_les_buoyancy_m_s-2,final_les_passive_tracer
-2.5500000000e+02,-7.0243063804e-04,-6.5276777985e-03,-7.0242233569e-04,-1.8799712060e+00
-2.5300000000e+02,-6.9843063804e-04,-6.5276777985e-03,-6.9843481810e-04,-1.8799712060e+00
-2.5100000000e+02,-6.9443063804e-04,-6.5276777985e-03,-6.9443218843e-04,-1.8799712060e+00
-2.4900000000e+02,-6.9043063804e-04,-6.5276777985e-03,-6.9042958755e-04,-1.8799712060e+00
-2.4700000000e+02,-6.8643063804e-04,-6.5276777985e-03,-6.8642912665e-04,-1.8799712060e+00
-2.4500000000e+02,-6.8243063804e-04,-6.5276777985e-03,-6.8242862769e-04,-1.8799712060e+00
-2.4300000000e+02,-6.7843063804e-04,-6.5276777985e-03,-6.7842796532e-04,-1.8799712060e+00
-2.4100000000e+02,-6.7443063804e-04,-6.5276777985e-03,-6.7442714160e-04,-1.8799712060e+00
-2.3900000000e+02,-6.7043063804e-04,-6.5276777985e-03,-6.7042608719e-04,-1.8799712060e+00
-2.3700000000e+02,-6.6643063804e-04,-6.5276777985e-03,-6.6642473384e-04,-1.8799712060e+00
-2.3500000000e+02,-6.6243063804e-04,-6.5276777985e-03,-6.6242299223e-04,-1.8799712060e+00
-2.3300000000e+02,-6.5843063804e-04,-6.5276777985e-03,-6.5842074704e-04,-1.8799712060e+00
-2.3100000000e+02,-6.5443063804e-04,-6.5276777985e-03,-6.5441785415e-04,-1.8799712060e+00
-2.2900000000e+02,-6.5043063804e-04,-6.5276777985e-03,-6.5041414064e-04,-1.8799712060e+00
-2.2700000000e+02,-6.4643063804e-04,-6.5276777985e-03,-6.4640941715e-04,-1.8799712060e+00
-2.2500000000e+02,-6.4243063804e-04,-6.5276777985e-03,-6.4240351738e-04,-1.8799712060e+00
-2.2300000000e+02,-6.3843063804e-04,-6.5276777985e-03,-6.3839638619e-04,-1.8799712060e+00
-2.2100000000e+02,-6.3443063804e-04,-6.5276777985e-03,-6.3438822449e-04,-1.8799712060e+00
-2.1900000000e+02,-6.3043063804e-04,-6.5276777985e-03,-6.3037963720e-04,-1.8799712060e+00
-2.1700000000e+02,-6.2643063804e-04,-6.5276777985e-03,-6.2637164347e-04,-1.8799712060e+00
-2.1500000000e+02,-6.2243063804e-04,-6.5276777985e-03,-6.2236544573e-04,-1.8799712060e+00
-2.1300000000e+02,-6.1843063804e-04,-6.5276777985e-03,-6.1836214465e-04,-1.8799712060e+00
-2.1100000000e+02,-6.1443063804e-04,-6.5276777985e-03,-6.1436288144e-04,-1.8799712060e+00
-2.0900000000e+02,-6.1043063804e-04,-6.5276777985e-03,-6.1036798145e-04,-1.8799712060e+00
-2.0700000000e+02,-6.0643063804e-04,-6.5276777985e-03,-6.0637917484e-04,-1.8799712060e+00
-2.0500000000e+02,-6.0243063804e-04,-6.5276777985e-03,-6.0240003034e-04,-1.8799712060e+00
-2.0300000000e+02,-5.9843063804e-04,-6.5276777985e-03,-5.9843402425e-04,-1.8799712060e+00
-2.0100000000e+02,-5.9443063804e-04,-6.5276777985e-03,-5.9447736761e-04,-1.8799712060e+00
-1.9900000000e+02,-5.9043063804e-04,-6.5276777985e-03,-5.9052596950e-04,-1.8799712060e+00
-1.9700000000e+02,-5.8643063804e-04,-6.5276777985e-03,-5.8658106806e-04,-1.8799712060e+00
-1.9500000000e+02,-5.8243063804e-04,-6.5276777985e-03,-5.8264780540e-04,-1.8799712060e+00
-1.9300000000e+02,-5.7843063804e-04,-6.5276777985e-03,-5.7872158180e-04,-1.8799712060e+00
-1.9100000000e+02,-5.7443063804e-04,-6.5276777985e-03,-5.7478802656e-04,-1.8799712060e+00
-1.8900000000e+02,-5.7043063804e-04,-6.5276777985e-03,-5.7082603553e-04,-1.8799712060e+00
-1.8700000000e+02,-5.6643063804e-04,-6.5276777985e-03,-5.6683176794e-04,-1.8799712060e+00
-1.8500000000e+02,-5.6243063804e-04,-6.5276777985e-03,-5.6282951504e-04,-1.8799712060e+00
-1.8300000000e+02,-5.5843063804e-04,-6.5276777985e-03,-5.5882304224e-04,-1.8799712060e+00
-1.8100000000e+02,-5.5443063804e-04,-6.5276777985e-03,-5.5478170455e-04,-1.8799712060e+00
-1.7900000000e+02,-5.5043063804e-04,-6.5276777985e-03,-5.5072664095e-04,-1.8799712060e+00
-1.7700000000e+02,-5.4643063804e-04,-6.5276777985e-03,-5.4670088252e-04,-1.8799712059e+00
-1.7500000000e+02,-5.4243063804e-04,-6.5276777985e-03,-5.4270267662e-04,-1.8799712060e+00
-1.7300000000e+02,-5.3843063804e-04,-6.5276777985e-03,-5.3870662557e-04,-1.8799712060e+00
-1.7100000000e+02,-5.3443063804e-04,-6.5276777985e-03,-5.3466022075e-04,-1.8799712058e+00
-1.6900000000e+02,-5.3043063804e-04,-6.5276777985e-03,-5.3059306015e-04,-1.8799712061e+00
-1.6700000000e+02,-5.2643063804e-04,-6.5276777985e-03,-5.2656277796e-04,-1.8799712059e+00
-1.6500000000e+02,-5.2243063804e-04,-6.5276777985e-03,-5.2257008520e-04,-1.8799712054e+00
-1.6300000000e+02,-5.1843063804e-04,-6.5276777985e-03,-5.1859824129e-04,-1.8799712081e+00
-1.6100000000e+02,-5.1443063804e-04,-6.5276777985e-03,-5.1454580986e-04,-1.8799712124e+00
-1.5900000000e+02,-5.1043063804e-04,-6.5276777985e-03,-5.1047344314e-04,-1.8799712084e+00
-1.5700000000e+02,-5.0643063804e-04,-6.5276777985e-03,-5.0646399380e-04,-1.8799712044e+00
-1.5500000000e+02,-5.0243063804e-04,-6.5276777984e-03,-5.0243481231e-04,-1.8799710924e+00
-1.5300000000e+02,-4.9843063803e-04,-6.5276777977e-03,-4.9842105194e-04,-1.8799670331e+00
-1.5100000000e+02,-4.9443063803e-04,-6.5276777939e-03,-4.9432946633e-04,-1.8799522821e+00
-1.4900000000e+02,-4.9043063803e-04,-6.5276777734e-03,-4.9032957248e-04,-1.8799385646e+00
-1.4700000000e+02,-4.8643063803e-04,-6.5276776718e-03,-4.8633420779e-04,-1.8799350043e+00
-1.4500000000e+02,-4.8243063803e-04,-6.5276772009e-03,-4.8237462520e-04,-1.8799416300e+00
-1.4300000000e+02,-4.7843063803e-04,-6.5276750915e-03,-4.7839453905e-04,-1.8799182869e+00
-1.4100000000e+02,-4.7443063803e-04,-6.5276662011e-03,-4.7435531379e-04,-1.8798533217e+00
-1.3900000000e+02,-4.7043063803e-04,-6.5276315123e-03,-4.7026743145e-04,-1.8797113465e+00
-1.3700000000e+02,-4.6643063803e-04,-6.5275058494e-03,-4.6621229859e-04,-1.8788891298e+00
-1.3500000000e+02,-4.6243063802e-04,-6.5270829690e-03,-4.6203843615e-04,-1.8735283645e+00
-1.3300000000e+02,-4.5843063802e-04,-6.5257593675e-03,-4.5774142336e-04,-1.8539580499e+00
-1.3100000000e+02,-4.5443063802e-04,-6.5218208719e-03,-4.5340254298e-04,-1.8198835534e+00
-1.2900000000e+02,-4.5043063801e-04,-6.5104820688e-03,-4.4905177806e-04,-1.7721716790e+00
-1.2700000000e+02,-4.4643063800e-04,-6.4810269469e-03,-4.4458217290e-04,-1.6943621673e+00
-1.2500000000e+02,-4.4243063799e-04,-6.4100517985e-03,-4.3985204758e-04,-1.5543538916e+00
-1.2300000000e+02,-4.3843063798e-04,-6.2448130470e-03,-4.3452365086e-04,-1.2925295610e+00
-1.2100000000e+02,-4.3443063797e-04,-5.8884963038e-03,-4.2852399020e-04,-8.2580255901e-01
-1.1900000000e+02,-4.3043063795e-04,-5.1851596249e-03,-4.2221621446e-04,-1.5501439556e-01
-1.1700000000e+02,-4.2643063792e-04,-3.8538687608e-03,-4.1591065360e-04,6.5106063285e-01
-1.1500000000e+02,-4.2243063789e-04,-1.5324092035e-03,-4.1002751502e-04,1.4242063631e+00
-1.1300000000e+02,-4.1843063785e-04,2.1886448973e-03,-4.0478357312e-04,2.0378369709e+00
