z_m,initial_buoyancy_m_s-2,initial_passive_tracer,final_les_buoyancy_m_s-2,final_les_passive_tracer
-2.5500000000e+02,-7.0243063804e-04,-1.3055355597e-02,-7.0241565938e-04,-1.8799712060e+00
-2.5300000000e+02,-6.9843063804e-04,-1.3055355597e-02,-6.9843728403e-04,-1.8799712060e+00
-2.5100000000e+02,-6.9443063804e-04,-1.3055355597e-02,-6.9443233201e-04,-1.8799712060e+00
-2.4900000000e+02,-6.9043063804e-04,-1.3055355597e-02,-6.9042706228e-04,-1.8799712060e+00
-2.4700000000e+02,-6.8643063804e-04,-1.3055355597e-02,-6.8642546968e-04,-1.8799712060e+00
-2.4500000000e+02,-6.8243063804e-04,-1.3055355597e-02,-6.8242374287e-04,-1.8799712060e+00
-2.4300000000e+02,-6.7843063804e-04,-1.3055355597e-02,-6.7842144990e-04,-1.8799712060e+00
-2.4100000000e+02,-6.7443063804e-04,-1.3055355597e-02,-6.7441857929e-04,-1.8799712060e+00
-2.3900000000e+02,-6.7043063804e-04,-1.3055355597e-02,-6.7041491037e-04,-1.8799712060e+00
-2.3700000000e+02,-6.6643063804e-04,-1.3055355597e-02,-6.6641021968e-04,-1.8799712060e+00
-2.3500000000e+02,-6.6243063804e-04,-1.3055355597e-02,-6.6240424935e-04,-1.8799712060e+00
-2.3300000000e+02,-6.5843063804e-04,-1.3055355597e-02,-6.5839670871e-04,-1.8799712060e+00
-2.3100000000e+02,-6.5443063804e-04,-1.3055355597e-02,-6.5438730928e-04,-1.8799712060e+00
-2.2900000000e+02,-6.5043063804e-04,-1.3055355597e-02,-6.5037582573e-04,-1.8799712060e+00
-2.2700000000e+02,-6.4643063804e-04,-1.3055355597e-02,-6.4636220093e-04,-1.8799712060e+00
-2.2500000000e+02,-6.4243063804e-04,-1.3055355597e-02,-6.4234669884e-04,-1.8799712060e+00
-2.2300000000e+02,-6.3843063804e-04,-1.3055355597e-02,-6.3833007737e-04,-1.8799712060e+00
-2.2100000000e+02,-6.3443063804e-04,-1.3055355597e-02,-6.3431369644e-04,-1.8799712060e+00
-2.1900000000e+02,-6.3043063804e-04,-1.3055355597e-02,-6.3029942074e-04,-1.8799712060e+00
-2.1700000000e+02,-6.2643063804e-04,-1.3055355597e-02,-6.2628922094e-04,-1.8799712060e+00
-2.1500000000e+02,-6.2243063804e-04,-1.3055355597e-02,-6.2228461437e-04,-1.8799712060e+00
-2.1300000000e+02,-6.1843063804e-04,-1.3055355597e-02,-6.1828653511e-04,-1.8799712060e+00
-2.1100000000e+02,-6.1443063804e-04,-1.3055355597e-02,-6.1429669037e-04,-1.8799712060e+00
-2.0900000000e+02,-6.1043063804e-04,-1.3055355597e-02,-6.1031679560e-04,-1.8799712060e+00
-2.0700000000e+02,-6.0643063804e-04,-1.3055355597e-02,-6.0635068057e-04,-1.8799712060e+00
-2.0500000000e+02,-6.0243063804e-04,-1.3055355597e-02,-6.0240190682e-04,-1.8799712060e+00
-2.0300000000e+02,-5.9843063804e-04,-1.3055355597e-02,-5.9847278754e-04,-1.8799712060e+00
-2.0100000000e+02,-5.9443063804e-04,-1.3055355597e-02,-5.9456025837e-04,-1.8799712060e+00
-1.9900000000e+02,-5.9043063804e-04,-1.3055355597e-02,-5.9065562795e-04,-1.8799712060e+00
-1.9700000000e+02,-5.8643063804e-04,-1.3055355597e-02,-5.8675064561e-04,-1.8799712060e+00
-1.9500000000e+02,-5.8243063804e-04,-1.3055355597e-02,-5.8283604111e-04,-1.8799712060e+00
-1.9300000000e+02,-5.7843063804e-04,-1.3055355597e-02,-5.7890423390e-04,-1.8799712060e+00
-1.9100000000e+02,-5.7443063804e-04,-1.3055355597e-02,-5.7494414826e-04,-1.8799712060e+00
-1.8900000000e+02,-5.7043063804e-04,-1.3055355597e-02,-5.7095108692e-04,-1.8799712060e+00
-1.8700000000e+02,-5.6643063804e-04,-1.3055355597e-02,-5.6693047557e-04,-1.8799712060e+00
-1.8500000000e+02,-5.6243063804e-04,-1.3055355597e-02,-5.6287831860e-04,-1.8799712060e+00
-1.8300000000e+02,-5.5843063804e-04,-1.3055355597e-02,-5.5881007317e-04,-1.8799712060e+00
-1.8100000000e+02,-5.5443063804e-04,-1.3055355597e-02,-5.5473590395e-04,-1.8799712060e+00
-1.7900000000e+02,-5.5043063804e-04,-1.3055355597e-02,-5.5065097536e-04,-1.8799712060e+00
-1.7700000000e+02,-5.4643063804e-04,-1.3055355597e-02,-5.4656263100e-04,-1.8799712059e+00
-1.7500000000e+02,-5.4243063804e-04,-1.3055355597e-02,-5.4248630753e-04,-1.8799712060e+00
-1.7300000000e+02,-5.3843063804e-04,-1.3055355597e-02,-5.3844843875e-04,-1.8799712061e+00
-1.7100000000e+02,-5.3443063804e-04,-1.3055355597e-02,-5.3447061970e-04,-1.8799712058e+00
-1.6900000000e+02,-5.3043063804e-04,-1.3055355597e-02,-5.3052216173e-04,-1.8799712064e+00
-1.6700000000e+02,-5.2643063804e-04,-1.3055355597e-02,-5.2657061100e-04,-1.8799712059e+00
-1.6500000000e+02,-5.2243063804e-04,-1.3055355597e-02,-5.2256900036e-04,-1.8799712055e+00
-1.6300000000e+02,-5.1843063804e-04,-1.3055355597e-02,-5.1852887014e-04,-1.8799712050e+00
-1.6100000000e+02,-5.1443063804e-04,-1.3055355597e-02,-5.1450727919e-04,-1.8799712001e+00
