z_m,initial_buoyancy_m_s-2,initial_passive_tracer,final_les_buoyancy_m_s-2,final_les_passive_tracer
-2.5500000000e+02,-7.0243063804e-04,-2.6110711194e-02,-7.0241101237e-04,-1.8799712060e+00
-2.5300000000e+02,-6.9843063804e-04,-2.6110711194e-02,-6.9843887517e-04,-1.8799712060e+00
-2.5100000000e+02,-6.9443063804e-04,-2.6110711194e-02,-6.9443220309e-04,-1.8799712060e+00
-2.4900000000e+02,-6.9043063804e-04,-2.6110711194e-02,-6.9042507988e-04,-1.8799712060e+00
-2.4700000000e+02,-6.8643063804e-04,-2.6110711194e-02,-6.8642274672e-04,-1.8799712060e+00
-2.4500000000e+02,-6.8243063804e-04,-2.6110711194e-02,-6.8242027939e-04,-1.8799712060e+00
-2.4300000000e+02,-6.7843063804e-04,-2.6110711194e-02,-6.7841712928e-04,-1.8799712060e+00
-2.4100000000e+02,-6.7443063804e-04,-2.6110711194e-02,-6.7441334091e-04,-1.8799712060e+00
-2.3900000000e+02,-6.7043063804e-04,-2.6110711194e-02,-6.7040871544e-04,-1.8799712060e+00
-2.3700000000e+02,-6.6643063804e-04,-2.6110711194e-02,-6.6640309946e-04,-1.8799712060e+00
-2.3500000000e+02,-6.6243063804e-04,-2.6110711194e-02,-6.6239636476e-04,-1.8799712060e+00
-2.3300000000e+02,-6.5843063804e-04,-2.6110711194e-02,-6.5838842866e-04,-1.8799712060e+00
-2.3100000000e+02,-6.5443063804e-04,-2.6110711194e-02,-6.5437930981e-04,-1.8799712060e+00
-2.2900000000e+02,-6.5043063804e-04,-2.6110711194e-02,-6.5036918917e-04,-1.8799712060e+00
-2.2700000000e+02,-6.4643063804e-04,-2.6110711194e-02,-6.4635847146e-04,-1.8799712060e+00
-2.2500000000e+02,-6.4243063804e-04,-2.6110711194e-02,-6.4234782548e-04,-1.8799712060e+00
-2.2300000000e+02,-6.3843063804e-04,-2.6110711194e-02,-6.3833817604e-04,-1.8799712060e+00
-2.2100000000e+02,-6.3443063804e-04,-2.6110711194e-02,-6.3433062965e-04,-1.8799712060e+00
-2.1900000000e+02,-6.3043063804e-04,-2.6110711194e-02,-6.3032633648e-04,-1.8799712060e+00
-2.1700000000e+02,-6.2643063804e-04,-2.6110711194e-02,-6.2632631115e-04,-1.8799712060e+00
-2.1500000000e+02,-6.2243063804e-04,-2.6110711194e-02,-6.2233124157e-04,-1.8799712060e+00
-2.1300000000e+02,-6.1843063804e-04,-2.6110711194e-02,-6.1834138302e-04,-1.8799712060e+00
-2.1100000000e+02,-6.1443063804e-04,-2.6110711194e-02,-6.1435659566e-04,-1.8799712060e+00
-2.0900000000e+02,-6.1043063804e-04,-2.6110711194e-02,-6.1037500095e-04,-1.8799712060e+00
-2.0700000000e+02,-6.0643063804e-04,-2.6110711194e-02,-6.0639476988e-04,-1.8799712060e+00
-2.0500000000e+02,-6.0243063804e-04,-2.6110711194e-02,-6.0241386907e-04,-1.8799712060e+00
-2.0300000000e+02,-5.9843063804e-04,-2.6110711194e-02,-5.9843009858e-04,-1.8799712060e+00
-2.0100000000e+02,-5.9443063804e-04,-2.6110711194e-02,-5.9444164967e-04,-1.8799712060e+00
-1.9900000000e+02,-5.9043063804e-04,-2.6110711194e-02,-5.9044816295e-04,-1.8799712060e+00
-1.9700000000e+02,-5.8643063804e-04,-2.6110711194e-02,-5.8644958191e-04,-1.8799712060e+00
-1.9500000000e+02,-5.8243063804e-04,-2.6110711194e-02,-5.8244588848e-04,-1.8799712060e+00
-1.9300000000e+02,-5.7843063804e-04,-2.6110711194e-02,-5.7843906279e-04,-1.8799712060e+00
-1.9100000000e+02,-5.7443063804e-04,-2.6110711194e-02,-5.7442998131e-04,-1.8799712060e+00
-1.8900000000e+02,-5.7043063804e-04,-2.6110711194e-02,-5.7041919746e-04,-1.8799712060e+00
-1.8700000000e+02,-5.6643063804e-04,-2.6110711194e-02,-5.6640688614e-04,-1.8799712060e+00
-1.8500000000e+02,-5.6243063804e-04,-2.6110711194e-02,-5.6239205274e-04,-1.8799712060e+00
-1.8300000000e+02,-5.5843063804e-04,-2.6110711194e-02,-5.5837460123e-04,-1.8799712060e+00
-1.8100000000e+02,-5.5443063804e-04,-2.6110711194e-02,-5.5435362184e-04,-1.8799712060e+00
-1.7900000000e+02,-5.5043063804e-04,-2.6110711194e-02,-5.5033012544e-04,-1.8799712060e+00
-1.7700000000e+02,-5.4643063804e-04,-2.6110711194e-02,-5.4630520985e-04,-1.8799712060e+00
-1.7500000000e+02,-5.4243063804e-04,-2.6110711194e-02,-5.4228149676e-04,-1.8799712060e+00
-1.7300000000e+02,-5.3843063804e-04,-2.6110711194e-02,-5.3826115221e-04,-1.8799712060e+00
-1.7100000000e+02,-5.3443063804e-04,-2.6110711194e-02,-5.3424552919e-04,-1.8799712060e+00
-1.6900000000e+02,-5.3043063804e-04,-2.6110711194e-02,-5.3023437373e-04,-1.8799712066e+00
-1.6700000000e+02,-5.2643063804e-04,-2.6110711194e-02,-5.2622981064e-04,-1.8799712106e+00
-1.6500000000e+02,-5.2243063804e-04,-2.6110711194e-02,-5.2223282055e-04,-1.8799707469e+00
-1.6300000000e+02,-5.1843063804e-04,-2.6110711194e-02,-5.1824377884e-04,-1.8799666019e+00
-1.6100000000e+02,-5.1443063804e-04,-2.6110711194e-02,-5.1425957099e-04,-1.8799630347e+00
-1.5900000000e+02,-5.1043063804e-04,-2.6110711194e-02,-5.1027561533e-04,-1.8799554803e+00
-1.5700000000e+02,-5.0643063804e-04,-2.6110711194e-02,-5.0628735185e-04,-1.8799467273e+00
-1.5500000000e+02,-5.0243063804e-04,-2.6110711194e-02,-5.0229349522e-04,-1.8799421178e+00
-1.5300000000e+02,-4.9843063803e-04,-2.6110711191e-02,-4.9828645423e-04,-1.8799329083e+00
-1.5100000000e+02,-4.9443063803e-04,-2.6110711175e-02,-4.9426146904e-04,-1.8799174173e+00
