z_m,initial_buoyancy_m_s-2,initial_passive_tracer,final_les_buoyancy_m_s-2,final_les_passive_tracer
-2.5500000000e+02,-7.0243063804e-04,-3.2638388993e-03,-7.0242329204e-04,-1.4099784045e+00
-2.5300000000e+02,-6.9843063804e-04,-3.2638388993e-03,-6.9843436669e-04,-1.4099784045e+00
-2.5100000000e+02,-6.9443063804e-04,-3.2638388993e-03,-6.9443204838e-04,-1.4099784045e+00
-2.4900000000e+02,-6.9043063804e-04,-3.2638388993e-03,-6.9042976140e-04,-1.4099784045e+00
-2.4700000000e+02,-6.8643063804e-04,-3.2638388993e-03,-6.8642936998e-04,-1.4099784045e+00
-2.4500000000e+02,-6.8243063804e-04,-3.2638388993e-03,-6.8242894333e-04,-1.4099784045e+00
-2.4300000000e+02,-6.7843063804e-04,-3.2638388993e-03,-6.7842837449e-04,-1.4099784045e+00
-2.4100000000e+02,-6.7443063804e-04,-3.2638388993e-03,-6.7442766608e-04,-1.4099784045e+00
-2.3900000000e+02,-6.7043063804e-04,-3.2638388993e-03,-6.7042676227e-04,-1.4099784045e+00
-2.3700000000e+02,-6.6643063804e-04,-3.2638388993e-03,-6.6642561203e-04,-1.4099784045e+00
-2.3500000000e+02,-6.6243063804e-04,-3.2638388993e-03,-6.6242415206e-04,-1.4099784045e+00
-2.3300000000e+02,-6.5843063804e-04,-3.2638388993e-03,-6.5842230458e-04,-1.4099784045e+00
-2.3100000000e+02,-6.5443063804e-04,-3.2638388993e-03,-6.5441997574e-04,-1.4099784045e+00
-2.2900000000e+02,-6.5043063804e-04,-3.2638388993e-03,-6.5041705467e-04,-1.4099784045e+00
-2.2700000000e+02,-6.4643063804e-04,-3.2638388993e-03,-6.4641341909e-04,-1.4099784045e+00
-2.2500000000e+02,-6.4243063804e-04,-3.2638388993e-03,-6.4240895433e-04,-1.4099784045e+00
-2.2300000000e+02,-6.3843063804e-04,-3.2638388993e-03,-6.3840359193e-04,-1.4099784045e+00
-2.2100000000e+02,-6.3443063804e-04,-3.2638388993e-03,-6.3439736428e-04,-1.4099784045e+00
-2.1900000000e+02,-6.3043063804e-04,-3.2638388993e-03,-6.3039045818e-04,-1.4099784045e+00
-2.1700000000e+02,-6.2643063804e-04,-3.2638388993e-03,-6.2638325775e-04,-1.4099784045e+00
-2.1500000000e+02,-6.2243063804e-04,-3.2638388993e-03,-6.2237642908e-04,-1.4099784045e+00
-2.1300000000e+02,-6.1843063804e-04,-3.2638388993e-03,-6.1837118813e-04,-1.4099784045e+00
-2.1100000000e+02,-6.1443063804e-04,-3.2638388993e-03,-6.1437030061e-04,-1.4099784045e+00
-2.0900000000e+02,-6.1043063804e-04,-3.2638388993e-03,-6.1037700902e-04,-1.4099784045e+00
-2.0700000000e+02,-6.0643063804e-04,-3.2638388993e-03,-6.0639427745e-04,-1.4099784045e+00
-2.0500000000e+02,-6.0243063804e-04,-3.2638388993e-03,-6.0242200693e-04,-1.4099784045e+00
-2.0300000000e+02,-5.9843063804e-04,-3.2638388993e-03,-5.9845839154e-04,-1.4099784045e+00
-2.0100000000e+02,-5.9443063804e-04,-3.2638388993e-03,-5.9449814400e-04,-1.4099784045e+00
-1.9900000000e+02,-5.9043063804e-04,-3.2638388993e-03,-5.9053317600e-04,-1.4099784045e+00
-1.9700000000e+02,-5.8643063804e-04,-3.2638388993e-03,-5.8656302061e-04,-1.4099784045e+00
-1.9500000000e+02,-5.8243063804e-04,-3.2638388993e-03,-5.8261630107e-04,-1.4099784045e+00
-1.9300000000e+02,-5.7843063804e-04,-3.2638388993e-03,-5.7869632017e-04,-1.4099784045e+00
-1.9100000000e+02,-5.7443063804e-04,-3.2638388993e-03,-5.7477294579e-04,-1.4099784045e+00
-1.8900000000e+02,-5.7043063804e-04,-3.2638388993e-03,-5.7082182695e-04,-1.4099784045e+00
-1.8700000000e+02,-5.6643063804e-04,-3.2638388993e-03,-5.6688860768e-04,-1.4099784045e+00
-1.8500000000e+02,-5.6243063804e-04,-3.2638388993e-03,-5.6294284626e-04,-1.4099784045e+00
-1.8300000000e+02,-5.5843063804e-04,-3.2638388993e-03,-5.5894120614e-04,-1.4099784045e+00
-1.8100000000e+02,-5.5443063804e-04,-3.2638388993e-03,-5.5491359851e-04,-1.4099784044e+00
-1.7900000000e+02,-5.5043063804e-04,-3.2638388993e-03,-5.5091616016e-04,-1.4099784046e+00
-1.7700000000e+02,-5.4643063804e-04,-3.2638388993e-03,-5.4688073097e-04,-1.4099784046e+00
-1.7500000000e+02,-5.4243063804e-04,-3.2638388993e-03,-5.4280378813e-04,-1.4099784044e+00
-1.7300000000e+02,-5.3843063804e-04,-3.2638388993e-03,-5.3878457348e-04,-1.4099784043e+00
-1.7100000000e+02,-5.3443063804e-04,-3.2638388993e-03,-5.3473392949e-04,-1.4099784045e+00
-1.6900000000e+02,-5.3043063804e-04,-3.2638388993e-03,-5.3061354796e-04,-1.4099784052e+00
-1.6700000000e+02,-5.2643063804e-04,-3.2638388993e-03,-5.2656883755e-04,-1.4099784038e+00
-1.6500000000e+02,-5.2243063804e-04,-3.2638388993e-03,-5.2258474563e-04,-1.4099784024e+00
-1.6300000000e+02,-5.1843063804e-04,-3.2638388993e-03,-5.1855975895e-04,-1.4099784040e+00
-1.6100000000e+02,-5.1443063804e-04,-3.2638388993e-03,-5.1460559670e-04,-1.4099784082e+00
-1.5900000000e+02,-5.1043063804e-04,-3.2638388993e-03,-5.1060550273e-04,-1.4099784036e+00
-1.5700000000e+02,-5.0643063804e-04,-3.2638388992e-03,-5.0641114685e-04,-1.4099784242e+00
-1.5500000000e+02,-5.0243063804e-04,-3.2638388992e-03,-5.0235325442e-04,-1.4099784515e+00
-1.5300000000e+02,-4.9843063803e-04,-3.2638388989e-03,-4.9835973716e-04,-1.4099781224e+00
-1.5100000000e+02,-4.9443063803e-04,-3.2638388969e-03,-4.9446521827e-04,-1.4099737382e+00
-1.4900000000e+02,-4.9043063803e-04,-3.2638388867e-03,-4.9057276352e-04,-1.4099673500e+00
-1.4700000000e+02,-4.8643063803e-04,-3.2638388359e-03,-4.8655259192e-04,-1.4099537661e+00
-1.4500000000e+02,-4.8243063803e-04,-3.2638386004e-03,-4.8247609071e-04,-1.4099107258e+00
-1.4300000000e+02,-4.7843063803e-04,-3.2638375458e-03,-4.7834414483e-04,-1.4096284332e+00
-1.4100000000e+02,-4.7443063803e-04,-3.2638331005e-03,-4.7411190817e-04,-1.4077865451e+00
-1.3900000000e+02,-4.7043063803e-04,-3.2638157562e-03,-4.6984753605e-04,-1.3998198565e+00
-1.3700000000e+02,-4.6643063803e-04,-3.2637529247e-03,-4.6558326605e-04,-1.3816306199e+00
-1.3500000000e+02,-4.6243063802e-04,-3.2635414845e-03,-4.6117475334e-04,-1.3521549831e+00
-1.3300000000e+02,-4.5843063802e-04,-3.2628796837e-03,-4.5644910238e-04,-1.3007823694e+00
