z_m,initial_u_m_s-1,initial_v_m_s-1,initial_buoyancy_m_s-2,initial_passive_tracer,final_les_u_m_s-1,final_les_v_m_s-1,final_les_buoyancy_m_s-2,final_les_passive_tracer
-2.5500000000e+02,9.6506148337e-16,-8.0709195128e-16,-7.0243063610e-04,-2.6110711194e-02,-6.3157763357e-06,5.5894076313e-06,-7.0235935441e-04,-1.8799712060e+00
-2.5300000000e+02,1.1245160570e-15,-6.4271987934e-16,-6.9843063913e-04,-2.6110711194e-02,-7.5789560481e-06,4.4487634028e-06,-6.9845697958e-04,-1.8799712060e+00
-2.5100000000e+02,1.3410714708e-15,-3.8258704550e-16,-6.9443063855e-04,-2.6110711194e-02,-9.6031223428e-06,2.6532465804e-06,-6.9443436132e-04,-1.8799712060e+00
-2.4900000000e+02,1.6743850968e-15,-1.8020757380e-18,-6.9043063804e-04,-2.6110711194e-02,-1.2645995896e-05,-8.1059452484e-08,-6.9040784719e-04,-1.8799712060e+00
-2.4700000000e+02,2.1123535284e-15,4.9848168143e-16,-6.8643063804e-04,-2.6110711194e-02,-1.6831947583e-05,-3.9197414191e-06,-6.8639928302e-04,-1.8799712060e+00
-2.4500000000e+02,2.6349085373e-15,1.1091324803e-15,-6.8243063804e-04,-2.6110711194e-02,-2.2234800981e-05,-8.9887301248e-06,-6.8239258946e-04,-1.8799712060e+00
-2.4300000000e+02,3.2325218546e-15,1.8204482972e-15,-6.7843063804e-04,-2.6110711194e-02,-2.8934072499e-05,-1.5440854755e-05,-6.7838477713e-04,-1.8799712060e+00
-2.4100000000e+02,3.8878348651e-15,2.6211879855e-15,-6.7443063804e-04,-2.6110711194e-02,-3.7026018763e-05,-2.3473690543e-05,-6.7437695875e-04,-1.8799712060e+00
-2.3900000000e+02,4.5830961771e-15,3.4975754373e-15,-6.7043063804e-04,-2.6110711194e-02,-4.6588986137e-05,-3.3297033025e-05,-6.7036902281e-04,-1.8799712060e+00
-2.3700000000e+02,5.2982667014e-15,4.4338251198e-15,-6.6643063804e-04,-2.6110711194e-02,-5.7675481878e-05,-4.5121932220e-05,-6.6636097414e-04,-1.8799712060e+00
-2.3500000000e+02,6.0121507654e-15,5.4122986355e-15,-6.6243063804e-04,-2.6110711194e-02,-7.0302710809e-05,-5.9145334896e-05,-6.6235299597e-04,-1.8799712060e+00
-2.3300000000e+02,6.7030918884e-15,6.4139458070e-15,-6.5843063804e-04,-2.6110711194e-02,-8.4446392115e-05,-7.5525039406e-05,-6.5834528141e-04,-1.8799712060e+00
-2.3100000000e+02,7.3498206446e-15,7.4188631092e-15,-6.5443063804e-04,-2.6110711194e-02,-1.0004486039e-04,-9.4349807042e-05,-6.5433808862e-04,-1.8799712060e+00
-2.2900000000e+02,7.9323360902e-15,8.4069678846e-15,-6.5043063804e-04,-2.6110711194e-02,-1.1701644630e-04,-1.1560509416e-04,-6.5033177794e-04,-1.8799712060e+00
-2.2700000000e+02,8.4327535193e-15,9.3587453043e-15,-6.4643063804e-04,-2.6110711194e-02,-1.3529209285e-04,-1.3913715051e-04,-6.4632683356e-04,-1.8799712060e+00
-2.2500000000e+02,8.8360626914e-15,1.0256015384e-14,-6.4243063804e-04,-2.6110711194e-02,-1.5486145725e-04,-1.6462142008e-04,-6.4232388763e-04,-1.8799712060e+00
-2.2300000000e+02,9.1307163507e-15,1.1082664062e-14,-6.3843063804e-04,-2.6110711194e-02,-1.7582498520e-04,-1.9154249855e-04,-6.3832372964e-04,-1.8799712060e+00
-2.2100000000e+02,9.3089984234e-15,1.1825284779e-14,-6.3443063804e-04,-2.6110711194e-02,-1.9843879939e-04,-2.1919198615e-04,-6.3432728984e-04,-1.8799712060e+00
-2.1900000000e+02,9.3671560256e-15,1.2473685793e-14,-6.3043063804e-04,-2.6110711194e-02,-2.2313522985e-04,-2.4668693966e-04,-6.3033559772e-04,-1.8799712060e+00
-2.1700000000e+02,9.3052856712e-15,1.3021232623e-14,-6.2643063804e-04,-2.6110711194e-02,-2.5050053446e-04,-2.7300671087e-04,-6.2634972196e-04,-1.8799712060e+00
-2.1500000000e+02,9.1270310866e-15,1.3465009660e-14,-6.2243063804e-04,-2.6110711194e-02,-2.8119400467e-04,-2.9704251664e-04,-6.2237068931e-04,-1.8799712060e+00
-2.1300000000e+02,8.8375215602e-15,1.3804308337e-14,-6.1843063804e-04,-2.6110711194e-02,-3.1586706492e-04,-3.1758284266e-04,-6.1839948459e-04,-1.8799712060e+00
-2.1100000000e+02,8.4372142381e-15,1.4034671158e-14,-6.1443063804e-04,-2.6110711194e-02,-3.5523376152e-04,-3.3291744277e-04,-6.1443739606e-04,-1.8799712060e+00
-2.0900000000e+02,7.9488756374e-15,1.4175638527e-14,-6.1043063804e-04,-2.6110711194e-02,-3.9850890622e-04,-3.4242031627e-04,-6.1048317728e-04,-1.8799712060e+00
-2.0700000000e+02,7.3843191758e-15,1.4238470881e-14,-6.0643063804e-04,-2.6110711194e-02,-4.4466187847e-04,-3.4521779530e-04,-6.0653544109e-04,-1.8799712060e+00
-2.0500000000e+02,6.7552371439e-15,1.4236567954e-14,-6.0243063804e-04,-2.6110711194e-02,-4.9200379510e-04,-3.4060444551e-04,-6.0259175800e-04,-1.8799712060e+00
-2.0300000000e+02,6.0694433506e-15,1.4182603237e-14,-5.9843063804e-04,-2.6110711194e-02,-5.3807689038e-04,-3.2747210674e-04,-5.9864855523e-04,-1.8799712060e+00
-2.0100000000e+02,5.3366552124e-15,1.4095090639e-14,-5.9443063804e-04,-2.6110711194e-02,-5.7979159960e-04,-3.0523655678e-04,-5.9470097868e-04,-1.8799712060e+00
-1.9900000000e+02,4.5690867860e-15,1.3995576721e-14,-5.9043063804e-04,-2.6110711194e-02,-6.1495354202e-04,-2.7476006182e-04,-5.9074510065e-04,-1.8799712060e+00
-1.9700000000e+02,3.7712408302e-15,1.3901260651e-14,-5.8643063804e-04,-2.6110711194e-02,-6.4149456040e-04,-2.3629772418e-04,-5.8677737001e-04,-1.8799712060e+00
