z_m,initial_u_m_s-1,initial_v_m_s-1,initial_buoyancy_m_s-2,initial_passive_tracer,final_les_u_m_s-1,final_les_v_m_s-1,final_les_buoyancy_m_s-2,final_les_passive_tracer
-1.9300000000e+02,-1.3071541793e-14,4.9773707928e-15,-5.7843063804e-04,-1.3055355597e-02,-4.4162044449e-04,-2.0505680166e-04,-5.7938144537e-04,-1.8799712060e+00
-1.9100000000e+02,-1.2467088884e-14,5.2588320421e-15,-5.7443063804e-04,-1.3055355597e-02,-4.2107476779e-04,-1.1834116185e-04,-5.7538091013e-04,-1.8799712060e+00
-1.8900000000e+02,-1.1928652032e-14,5.5596930635e-15,-5.7043063804e-04,-1.3055355597e-02,-3.8369052098e-04,-3.8013905905e-05,-5.7136016755e-04,-1.8799712060e+00
-1.8700000000e+02,-1.1459597577e-14,5.8787051883e-15,-5.6643063804e-04,-1.3055355597e-02,-3.3434635365e-04,2.9692070031e-05,-5.6735068833e-04,-1.8799712060e+00
-1.8500000000e+02,-1.1086771706e-14,6.2214529784e-15,-5.6243063804e-04,-1.3055355597e-02,-2.7427480722e-04,7.3656654436e-05,-5.6332417686e-04,-1.8799712060e+00
-1.8300000000e+02,-1.0799233432e-14,6.5848050862e-15,-5.5843063804e-04,-1.3055355597e-02,-2.0036456026e-04,1.0561249073e-04,-5.5923468975e-04,-1.8799712060e+00
-1.8100000000e+02,-1.0624934449e-14,6.9757577119e-15,-5.5443063804e-04,-1.3055355597e-02,-1.1556575742e-04,1.3289281315e-04,-5.5511964640e-04,-1.8799712060e+00
-1.7900000000e+02,-1.0549216535e-14,7.3914283849e-15,-5.5043063804e-04,-1.3055355597e-02,-3.2130186041e-05,1.5213445083e-04,-5.5102115710e-04,-1.8799712059e+00
-1.7700000000e+02,-1.0593772337e-14,7.8385200001e-15,-5.4643063804e-04,-1.3055355597e-02,5.1305072902e-05,1.6482833887e-04,-5.4692148548e-04,-1.8799712060e+00
-1.7500000000e+02,-1.0750735786e-14,8.3166089901e-15,-5.4243063804e-04,-1.3055355597e-02,1.3361062134e-04,1.7300120822e-04,-5.4285693615e-04,-1.8799712059e+00
-1.7300000000e+02,-1.1025774778e-14,8.8290110545e-15,-5.3843063804e-04,-1.3055355597e-02,2.0889137635e-04,1.6994918083e-04,-5.3880896876e-04,-1.8799712065e+00
-1.7100000000e+02,-1.1431095763e-14,9.3816857206e-15,-5.3443063804e-04,-1.3055355597e-02,2.6387251404e-04,1.6187364463e-04,-5.3474427272e-04,-1.8799712066e+00
-1.6900000000e+02,-1.1960012507e-14,9.9748335165e-15,-5.3043063804e-04,-1.3055355597e-02,3.0500075343e-04,1.5793298877e-04,-5.3063926257e-04,-1.8799712052e+00
-1.6700000000e+02,-1.2618848307e-14,1.0612660952e-14,-5.2643063803e-04,-1.3055355597e-02,3.3448579455e-04,1.4711885692e-04,-5.2654194823e-04,-1.8799712047e+00
-1.6500000000e+02,-1.3425817041e-14,1.1303983466e-14,-5.2243063803e-04,-1.3055355597e-02,3.6193512765e-04,1.3082990416e-04,-5.2247230382e-04,-1.8799712041e+00
-1.6300000000e+02,-1.4378870240e-14,1.2050241184e-14,-5.1843063803e-04,-1.3055355597e-02,3.9712511869e-04,1.1631179084e-04,-5.1842987998e-04,-1.8799712062e+00
-1.6100000000e+02,-1.5488584702e-14,1.2857116401e-14,-5.1443063803e-04,-1.3055355597e-02,4.3751302692e-04,1.1363532348e-04,-5.1440902131e-04,-1.8799712144e+00
-1.5900000000e+02,-1.6768497384e-14,1.3731192366e-14,-5.1043063803e-04,-1.3055355597e-02,4.6214763050e-04,1.2603544703e-04,-5.1036172868e-04,-1.8799711963e+00
-1.5700000000e+02,-1.8235145984e-14,1.4679848037e-14,-5.0643063803e-04,-1.3055355597e-02,4.7628696530e-04,1.4343594531e-04,-5.0632305590e-04,-1.8799709378e+00
-1.5500000000e+02,-1.9908661429e-14,1.5711377096e-14,-5.0243063803e-04,-1.3055355597e-02,5.1650371152e-04,1.5229352864e-04,-5.0226815010e-04,-1.8799704353e+00
-1.5300000000e+02,-2.1817231039e-14,1.6836591308e-14,-4.9843063803e-04,-1.3055355595e-02,5.6160545781e-04,1.7088765512e-04,-4.9831446660e-04,-1.8799695100e+00
-1.5100000000e+02,-2.3985718146e-14,1.8064143521e-14,-4.9443063803e-04,-1.3055355588e-02,6.1893532664e-04,2.2845497217e-04,-4.9431920717e-04,-1.8799656778e+00
-1.4900000000e+02,-2.6448472409e-14,1.9405500122e-14,-4.9043063803e-04,-1.3055355547e-02,6.6675963072e-04,2.6697117964e-04,-4.9031315918e-04,-1.8799477748e+00
-1.4700000000e+02,-2.9247234749e-14,2.0873843959e-14,-4.8643063803e-04,-1.3055355344e-02,7.3379126965e-04,3.1034273839e-04,-4.8634604185e-04,-1.8798508105e+00
-1.4500000000e+02,-3.2431686013e-14,2.2484037823e-14,-4.8243063803e-04,-1.3055354402e-02,7.8473987349e-04,4.0959740760e-04,-4.8233280059e-04,-1.8792887220e+00
-1.4300000000e+02,-3.6067488947e-14,2.4255250978e-14,-4.7843063803e-04,-1.3055350183e-02,7.7274531167e-04,5.0601037754e-04,-4.7821899337e-04,-1.8770987432e+00
-1.4100000000e+02,-4.0226619550e-14,2.6206862407e-14,-4.7443063803e-04,-1.3055332402e-02,7.1834375864e-04,5.8167201970e-04,-4.7396756222e-04,-1.8725163986e+00
-1.3900000000e+02,-4.4992454185e-14,2.8360280456e-14,-4.7043063803e-04,-1.3055263025e-02,6.7057668760e-04,5.8793244813e-04,-4.6967299087e-04,-1.8631979426e+00
-1.3700000000e+02,-5.0466524798e-14,3.0740658683e-14,-4.6643063802e-04,-1.3055011699e-02,6.0453576320e-04,5.1617524865e-04,-4.6542259810e-04,-1.8396816042e+00
