z_m,initial_u_m_s-1,initial_v_m_s-1,initial_buoyancy_m_s-2,initial_passive_tracer,final_les_u_m_s-1,final_les_v_m_s-1,final_les_buoyancy_m_s-2,final_les_passive_tracer
-2.5500000000e+02,1.2903386839e-15,4.1961738915e-15,-7.0243063502e-04,-5.2221422388e-02,-1.2815990762e-05,-2.7726835920e-06,-7.0235559986e-04,-1.8799712060e+00
-2.5300000000e+02,9.4963877216e-16,4.5037661381e-15,-6.9843063974e-04,-5.2221422388e-02,-1.2465006737e-05,-5.4633090961e-06,-6.9844814856e-04,-1.8799712060e+00
-2.5100000000e+02,-7.0999037811e-16,4.9876156640e-15,-6.9443063885e-04,-5.2221422388e-02,-1.2413417779e-05,-9.8026718171e-06,-6.9442030799e-04,-1.8799712060e+00
-2.4900000000e+02,-2.6094168017e-15,5.6845350742e-15,-6.9043063804e-04,-5.2221422388e-02,-1.2095569142e-05,-1.6416554931e-05,-6.9038707652e-04,-1.8799712060e+00
-2.4700000000e+02,-4.9511795330e-15,6.5943803810e-15,-6.8643063804e-04,-5.2221422388e-02,-1.1488087520e-05,-2.5664720120e-05,-6.8637133097e-04,-1.8799712060e+00
-2.4500000000e+02,-7.9233181882e-15,7.7000690248e-15,-6.8243063804e-04,-5.2221422388e-02,-1.0594838568e-05,-3.7833826215e-05,-6.8235745213e-04,-1.8799712060e+00
-2.4300000000e+02,-1.1373238637e-14,8.9794840160e-15,-6.7843063804e-04,-5.2221422388e-02,-9.2732011116e-06,-5.3257915114e-05,-6.7834195957e-04,-1.8799712060e+00
-2.4100000000e+02,-1.5311399033e-14,1.0409583056e-14,-6.7443063804e-04,-5.2221422388e-02,-7.4083604878e-06,-7.2336636493e-05,-6.7432600471e-04,-1.8799712060e+00
-2.3900000000e+02,-1.9675934202e-14,1.1962733227e-14,-6.7043063804e-04,-5.2221422388e-02,-4.8515174163e-06,-9.5460487070e-05,-6.7030977659e-04,-1.8799712060e+00
-2.3700000000e+02,-2.4408681442e-14,1.3608485325e-14,-6.6643063804e-04,-5.2221422388e-02,-1.4514279871e-06,-1.2296563754e-04,-6.6629356216e-04,-1.8799712060e+00
-2.3500000000e+02,-2.9438439114e-14,1.5314231578e-14,-6.6243063804e-04,-5.2221422388e-02,2.9348519322e-06,-1.5508507940e-04,-6.6227799566e-04,-1.8799712060e+00
-2.3300000000e+02,-3.4684241995e-14,1.7046330295e-14,-6.5843063804e-04,-5.2221422388e-02,8.4157684086e-06,-1.9188811746e-04,-6.5826386837e-04,-1.8799712060e+00
-2.3100000000e+02,-4.0057724029e-14,1.8771388170e-14,-6.5443063804e-04,-5.2221422388e-02,1.5036374501e-05,-2.3322425546e-04,-6.5425212206e-04,-1.8799712060e+00
-2.2900000000e+02,-4.5466477263e-14,2.0457636301e-14,-6.5043063804e-04,-5.2221422388e-02,2.2746648552e-05,-2.7868053436e-04,-6.5024381011e-04,-1.8799712060e+00
-2.2700000000e+02,-5.0818168625e-14,2.2076304386e-14,-6.4643063804e-04,-5.2221422388e-02,3.1375590623e-05,-3.2755977029e-04,-6.4624000327e-04,-1.8799712060e+00
-2.2500000000e+02,-5.6025004908e-14,2.3602888272e-14,-6.4243063804e-04,-5.2221422388e-02,4.0617317866e-05,-3.7888592799e-04,-6.4224166668e-04,-1.8799712060e+00
-2.2300000000e+02,-6.1008289954e-14,2.5018219420e-14,-6.3843063804e-04,-5.2221422388e-02,5.0034907374e-05,-4.3143844891e-04,-6.3824952387e-04,-1.8799712060e+00
-2.2100000000e+02,-6.5702716631e-14,2.6309261605e-14,-6.3443063804e-04,-5.2221422388e-02,5.9083106057e-05,-4.8381265878e-04,-6.3426392568e-04,-1.8799712060e+00
-2.1900000000e+02,-7.0059971948e-14,2.7469585594e-14,-6.3043063804e-04,-5.2221422388e-02,6.7146589342e-05,-5.3449989449e-04,-6.3028474881e-04,-1.8799712060e+00
-2.1700000000e+02,-7.4051464329e-14,2.8499507600e-14,-6.2643063804e-04,-5.2221422388e-02,7.3587239436e-05,-5.8197899794e-04,-6.2631134535e-04,-1.8799712060e+00
-2.1500000000e+02,-7.7669784016e-14,2.9405899693e-14,-6.2243063803e-04,-5.2221422388e-02,7.7793401653e-05,-6.2481019244e-04,-6.2234255460e-04,-1.8799712060e+00
-2.1300000000e+02,-8.0924530252e-14,3.0200351165e-14,-6.1843063803e-04,-5.2221422388e-02,7.9176205717e-05,-6.6161541917e-04,-6.1837678976e-04,-1.8799712060e+00
-2.1100000000e+02,-8.3827238484e-14,3.0895256892e-14,-6.1443063803e-04,-5.2221422388e-02,7.6948612289e-05,-6.9057436880e-04,-6.1441194938e-04,-1.8799712060e+00
-2.0900000000e+02,-8.6478298704e-14,3.1526695164e-14,-6.1043063803e-04,-5.2221422388e-02,7.1173756024e-05,-7.1170253006e-04,-6.1044560747e-04,-1.8799712060e+00
-2.0700000000e+02,-8.8957694776e-14,3.2122618906e-14,-6.0643063803e-04,-5.2221422388e-02,6.1773970672e-05,-7.2469827618e-04,-6.0647567187e-04,-1.8799712060e+00
-2.0500000000e+02,-9.1360000890e-14,3.2713385304e-14,-6.0243063803e-04,-5.2221422388e-02,4.8836242857e-05,-7.2959417960e-04,-6.0250024317e-04,-1.8799712060e+00
-2.0300000000e+02,-9.3802628490e-14,3.3335345726e-14,-5.9843063803e-04,-5.2221422388e-02,3.2386665700e-05,-7.2621805726e-04,-5.9851712722e-04,-1.8799712060e+00
-2.0100000000e+02,-9.6432437637e-14,3.4030251963e-14,-5.9443063803e-04,-5.2221422388e-02,1.2775690655e-05,-7.1510194367e-04,-5.9452467702e-04,-1.8799712060e+00
-1.9900000000e+02,-9.9369391094e-14,3.4827818506e-14,-5.9043063803e-04,-5.2221422388e-02,-9.2129729002e-06,-6.9788540843e-04,-5.9052302200e-04,-1.8799712060e+00
-1.9700000000e+02,-1.0274993639e-13,3.5762785317e-14,-5.8643063803e-04,-5.2221422388e-02,-3.3114383633e-05,-6.7551471210e-04,-5.8651187292e-04,-1.8799712060e+00
-1.9500000000e+02,-1.0683532528e-13,3.6903547507e-14,-5.8243063803e-04,-5.2221422388e-02,-5.8636767617e-05,-6.4853809921e-04,-5.8248991570e-04,-1.8799712060e+00
-1.9300000000e+02,-1.1167043401e-13,3.8253847472e-14,-5.7843063803e-04,-5.2221422388e-02,-8.5067753829e-05,-6.1891304643e-04,-5.7845958257e-04,-1.8799712060e+00
-1.9100000000e+02,-1.1747138699e-13,3.9865260884e-14,-5.7443063803e-04,-5.2221422388e-02,-1.1213160758e-04,-5.8760779651e-04,-5.7442128502e-04,-1.8799712060e+00
-1.8900000000e+02,-1.2448101515e-13,4.1793865341e-14,-5.7043063803e-04,-5.2221422388e-02,-1.3961200082e-04,-5.5572672984e-04,-5.7037592088e-04,-1.8799712060e+00
