z_m,initial_u_m_s-1,initial_v_m_s-1,initial_buoyancy_m_s-2,initial_passive_tracer,final_les_u_m_s-1,final_les_v_m_s-1,final_les_buoyancy_m_s-2,final_les_passive_tracer
-2.5500000000e+02,-4.9796036710e-18,2.5126916056e-17,-7.0243063760e-04,-6.5276777985e-03,-5.7432567308e-07,6.2960139086e-09,-7.0241233889e-04,-1.8799712060e+00
-2.5300000000e+02,-9.2299745117e-18,2.4296018787e-17,-6.9843063828e-04,-6.5276777985e-03,-5.9407489837e-07,-1.3431016829e-07,-6.9843922821e-04,-1.8799712060e+00
-2.5100000000e+02,-1.6022114265e-17,2.3189574968e-17,-6.9443063815e-04,-6.5276777985e-03,-6.2720689460e-07,-3.5183532971e-07,-6.9443338201e-04,-1.8799712060e+00
-2.4900000000e+02,-2.5869797734e-17,2.1567333543e-17,-6.9043063804e-04,-6.5276777985e-03,-6.7751464387e-07,-6.8918235226e-07,-6.9042738602e-04,-1.8799712060e+00
-2.4700000000e+02,-3.8576766471e-17,1.9420475175e-17,-6.8643063804e-04,-6.5276777985e-03,-7.4432813575e-07,-1.1746346948e-06,-6.8642611378e-04,-1.8799712060e+00
-2.4500000000e+02,-5.3752532442e-17,1.6817116796e-17,-6.8243063804e-04,-6.5276777985e-03,-8.2718898125e-07,-1.8328488466e-06,-6.8242491989e-04,-1.8799712060e+00
-2.4300000000e+02,-7.0982871100e-17,1.3811139468e-17,-6.7843063804e-04,-6.5276777985e-03,-9.2586679157e-07,-2.6966363985e-06,-6.7842344560e-04,-1.8799712060e+00
-2.4100000000e+02,-8.9791922744e-17,1.0461248777e-17,-6.7443063804e-04,-6.5276777985e-03,-1.0385535761e-06,-3.8104274736e-06,-6.7442181080e-04,-1.8799712060e+00
-2.3900000000e+02,-1.0965462207e-16,6.8379985943e-18,-6.7043063804e-04,-6.5276777985e-03,-1.1625561838e-06,-5.2260491446e-06,-6.7041994016e-04,-1.8799712060e+00
-2.3700000000e+02,-1.3001435818e-16,3.0197725289e-18,-6.6643063804e-04,-6.5276777985e-03,-1.2939311326e-06,-7.0039995447e-06,-6.6641781143e-04,-1.8799712060e+00
-2.3500000000e+02,-1.5030339521e-16,-9.0807186886e-19,-6.6243063804e-04,-6.5276777985e-03,-1.4276780260e-06,-9.2128481197e-06,-6.6241541271e-04,-1.8799712060e+00
-2.3300000000e+02,-1.6996409724e-16,-4.8556106815e-18,-6.5843063804e-04,-6.5276777985e-03,-1.5585453167e-06,-1.1927836218e-05,-6.5841274239e-04,-1.8799712060e+00
-2.3100000000e+02,-1.8847007250e-16,-8.7310052897e-18,-6.5443063804e-04,-6.5276777985e-03,-1.6826437959e-06,-1.5228576827e-05,-6.5440982181e-04,-1.8799712060e+00
-2.2900000000e+02,-2.0534569961e-16,-1.2443470620e-17,-6.5043063804e-04,-6.5276777985e-03,-1.8004019888e-06,-1.9195032421e-05,-6.5040670165e-04,-1.8799712060e+00
-2.2700000000e+02,-2.2018291383e-16,-1.5906370287e-17,-6.4643063804e-04,-6.5276777985e-03,-1.9217150700e-06,-2.3901129809e-05,-6.4640346684e-04,-1.8799712060e+00
-2.2500000000e+02,-2.3265410097e-16,-1.9040252154e-17,-6.4243063804e-04,-6.5276777985e-03,-2.0747509040e-06,-2.9405714017e-05,-6.4240023535e-04,-1.8799712060e+00
-2.2300000000e+02,-2.4252064378e-16,-2.1775627916e-17,-6.3843063804e-04,-6.5276777985e-03,-2.3202132139e-06,-3.5741689636e-05,-6.3839714464e-04,-1.8799712060e+00
-2.2100000000e+02,-2.4963678617e-16,-2.4055319623e-17,-6.3443063804e-04,-6.5276777985e-03,-2.7717230423e-06,-4.2905272715e-05,-6.3439432404e-04,-1.8799712060e+00
-2.1900000000e+02,-2.5394894345e-16,-2.5836236609e-17,-6.3043063804e-04,-6.5276777985e-03,-3.6190145281e-06,-5.0846599953e-05,-6.3039187375e-04,-1.8799712060e+00
-2.1700000000e+02,-2.5549079986e-16,-2.7090502294e-17,-6.2643063804e-04,-6.5276777985e-03,-5.1453240341e-06,-5.9464067363e-05,-6.2638991638e-04,-1.8799712060e+00
-2.1500000000e+02,-2.5437472260e-16,-2.7805896602e-17,-6.2243063804e-04,-6.5276777985e-03,-7.7293659169e-06,-6.8619200027e-05,-6.2238876915e-04,-1.8799712060e+00
-2.1300000000e+02,-2.5074704619e-16,-2.7977764960e-17,-6.1843063804e-04,-6.5276777985e-03,-1.1862502275e-05,-7.8204064063e-05,-6.1838908708e-04,-1.8799712060e+00
-2.1100000000e+02,-2.4465817314e-16,-2.7576715492e-17,-6.1443063804e-04,-6.5276777985e-03,-1.8370646753e-05,-8.8257203951e-05,-6.1439153229e-04,-1.8799712060e+00
-2.0900000000e+02,-2.3665982493e-16,-2.6695319154e-17,-6.1043063804e-04,-6.5276777985e-03,-2.7785651271e-05,-9.8843092332e-05,-6.1039513906e-04,-1.8799712060e+00
-2.0700000000e+02,-2.2706651763e-16,-2.5380264363e-17,-6.0643063804e-04,-6.5276777985e-03,-4.0936945368e-05,-1.1010342205e-04,-6.0639843238e-04,-1.8799712060e+00
-2.0500000000e+02,-2.1620245811e-16,-2.3687246504e-17,-6.0243063804e-04,-6.5276777985e-03,-5.8409400508e-05,-1.2228547227e-04,-6.0240261267e-04,-1.8799712060e+00
-2.0300000000e+02,-2.0434620241e-16,-2.1661386653e-17,-5.9843063804e-04,-6.5276777985e-03,-8.0057745677e-05,-1.3623012951e-04,-5.9841586504e-04,-1.8799712060e+00
-2.0100000000e+02,-1.9185001534e-16,-1.9376642874e-17,-5.9443063804e-04,-6.5276777985e-03,-1.0351659170e-04,-1.5236861146e-04,-5.9444642188e-04,-1.8799712060e+00
-1.9900000000e+02,-1.7908716325e-16,-1.6934447532e-17,-5.9043063804e-04,-6.5276777985e-03,-1.2585296490e-04,-1.6824715042e-04,-5.9049526297e-04,-1.8799712060e+00
-1.9700000000e+02,-1.6631948664e-16,-1.4406439599e-17,-5.8643063804e-04,-6.5276777985e-03,-1.4522800481e-04,-1.8081562372e-04,-5.8655988739e-04,-1.8799712060e+00
-1.9500000000e+02,-1.5385540265e-16,-1.1874650870e-17,-5.8243063804e-04,-6.5276777985e-03,-1.5910211297e-04,-1.8731920777e-04,-5.8264054685e-04,-1.8799712060e+00
-1.9300000000e+02,-1.4186516898e-16,-9.4185406519e-18,-5.7843063804e-04,-6.5276777985e-03,-1.6621539449e-04,-1.9120440552e-04,-5.7873313022e-04,-1.8799712060e+00
-1.9100000000e+02,-1.3055938405e-16,-7.1185920846e-18,-5.7443063804e-04,-6.5276777985e-03,-1.6110351961e-04,-1.9190332503e-04,-5.7482895944e-04,-1.8799712060e+00
-1.8900000000e+02,-1.2013448608e-16,-5.0636420245e-18,-5.7043063804e-04,-6.5276777985e-03,-1.3853242444e-04,-1.7785080804e-04,-5.7092315493e-04,-1.8799712060e+00
-1.8700000000e+02,-1.1058140049e-16,-3.2881588517e-18,-5.6643063804e-04,-6.5276777985e-03,-9.9904361877e-05,-1.4667717016e-04,-5.6702141891e-04,-1.8799712060e+00
-1.8500000000e+02,-1.0217440478e-16,-1.9290343576e-18,-5.6243063804e-04,-6.5276777985e-03,-3.9014017827e-05,-1.0099991140e-04,-5.6310538431e-04,-1.8799712060e+00
-1.8300000000e+02,-9.4733838717e-17,-9.6333043210e-19,-5.5843063804e-04,-6.5276777985e-03,3.7707561563e-05,-5.1320269640e-05,-5.5916873469e-04,-1.8799712060e+00
-1.8100000000e+02,-8.8513940400e-17,-5.5322478295e-19,-5.5443063804e-04,-6.5276777985e-03,1.1456302100e-04,7.0166444851e-06,-5.5522703205e-04,-1.8799712060e+00
-1.7900000000e+02,-8.3302928270e-17,-6.5714475331e-19,-5.5043063804e-04,-6.5276777985e-03,1.7422369537e-04,6.8008442780e-05,-5.5126757893e-04,-1.8799712060e+00
-1.7700000000e+02,-7.9262473127e-17,-1.4248770966e-18,-5.4643063804e-04,-6.5276777985e-03,2.0945047150e-04,1.1871336695e-04,-5.4725538493e-04,-1.8799712060e+00
-1.7500000000e+02,-7.6256377565e-17,-2.8514428259e-18,-5.4243063804e-04,-6.5276777985e-03,2.3243945856e-04,1.4271712197e-04,-5.4319339364e-04,-1.8799712060e+00
-1.7300000000e+02,-7.4282795769e-17,-5.0066857075e-18,-5.3843063804e-04,-6.5276777985e-03,2.5098031265e-04,1.5812053584e-04,-5.3906090893e-04,-1.8799712060e+00
-1.7100000000e+02,-7.3383410175e-17,-8.0123156807e-18,-5.3443063804e-04,-6.5276777985e-03,2.6158840497e-04,1.9755865630e-04,-5.3492998261e-04,-1.8799712060e+00
-1.6900000000e+02,-7.3451053432e-17,-1.1866632074e-17,-5.3043063804e-04,-6.5276777985e-03,2.6836253145e-04,2.4282720084e-04,-5.3085044536e-04,-1.8799712061e+00
-1.6700000000e+02,-7.4493677620e-17,-1.6651218558e-17,-5.2643063804e-04,-6.5276777985e-03,2.9257102850e-04,2.8592655143e-04,-5.2674616005e-04,-1.8799712058e+00
