z_m,initial_u_m_s-1,initial_v_m_s-1,initial_buoyancy_m_s-2,initial_passive_tracer,final_les_u_m_s-1,final_les_v_m_s-1,final_les_buoyancy_m_s-2,final_les_passive_tracer
-2.5500000000e+02,-3.8495888862e-19,9.0481867134e-18,-7.0243063789e-04,-3.2638388993e-03,-1.4531710477e-07,2.9485245415e-08,-7.0241894462e-04,-1.4099784045e+00
-2.5300000000e+02,-2.0534595821e-18,8.9807698421e-18,-6.9843063812e-04,-3.2638388993e-03,-1.6877164512e-07,-2.5074709295e-08,-6.9843634209e-04,-1.4099784045e+00
-2.5100000000e+02,-4.4602074301e-18,8.9662895150e-18,-6.9443063808e-04,-3.2638388993e-03,-2.0805571292e-07,-1.1270130523e-07,-6.9443260684e-04,-1.4099784045e+00
-2.4900000000e+02,-7.9651774643e-18,8.9440698555e-18,-6.9043063804e-04,-3.2638388993e-03,-2.7158472568e-07,-2.5365952382e-07,-6.9042884058e-04,-1.4099784045e+00
-2.4700000000e+02,-1.2531279717e-17,8.9066103903e-18,-6.8643063804e-04,-3.2638388993e-03,-3.6839574262e-07,-4.7187594207e-07,-6.8642807666e-04,-1.4099784045e+00
-2.4500000000e+02,-1.8002236327e-17,8.8656707955e-18,-6.8243063804e-04,-3.2638388993e-03,-5.0954281145e-07,-7.9388862699e-07,-6.8242728236e-04,-1.4099784045e+00
-2.4300000000e+02,-2.4235055521e-17,8.8263202504e-18,-6.7843063804e-04,-3.2638388993e-03,-7.1086076674e-07,-1.2570775705e-06,-6.7842624743e-04,-1.4099784045e+00
-2.4100000000e+02,-3.1066435523e-17,8.7933292985e-18,-6.7443063804e-04,-3.2638388993e-03,-9.9571503516e-07,-1.9188592441e-06,-6.7442499990e-04,-1.4099784045e+00
-2.3900000000e+02,-3.8313084479e-17,8.7723119425e-18,-6.7043063804e-04,-3.2638388993e-03,-1.3963936114e-06,-2.8582729601e-06,-6.7042345614e-04,-1.4099784045e+00
-2.3700000000e+02,-4.5778168062e-17,8.7692105061e-18,-6.6643063804e-04,-3.2638388993e-03,-1.9574216863e-06,-4.1846248259e-06,-6.6642155418e-04,-1.4099784045e+00
-2.3500000000e+02,-5.3257608209e-17,8.7901796510e-18,-6.6243063804e-04,-3.2638388993e-03,-2.7394671296e-06,-6.0464267239e-06,-6.6241923372e-04,-1.4099784045e+00
-2.3300000000e+02,-6.0547381438e-17,8.8412996080e-18,-6.5843063804e-04,-3.2638388993e-03,-3.8239821394e-06,-8.6407416783e-06,-6.5841644601e-04,-1.4099784045e+00
-2.3100000000e+02,-6.7451058578e-17,8.9282916631e-18,-6.5443063804e-04,-3.2638388993e-03,-5.3186237027e-06,-1.2221633465e-05,-6.5441317743e-04,-1.4099784045e+00
-2.2900000000e+02,-7.3787101499e-17,9.0562206266e-18,-6.5043063804e-04,-3.2638388993e-03,-7.3631645088e-06,-1.7104241946e-05,-6.5040948003e-04,-1.4099784045e+00
-2.2700000000e+02,-7.9395487022e-17,9.2292130672e-18,-6.4643063804e-04,-3.2638388993e-03,-1.0135669355e-05,-2.3659688191e-05,-6.4640551196e-04,-1.4099784045e+00
-2.2500000000e+02,-8.4143200139e-17,9.4502115532e-18,-6.4243063804e-04,-3.2638388993e-03,-1.3858981176e-05,-3.2295235865e-05,-6.4240158355e-04,-1.4099784045e+00
-2.2300000000e+02,-8.7928288142e-17,9.7207811239e-18,-6.3843063804e-04,-3.2638388993e-03,-1.8807980286e-05,-4.3415765661e-05,-6.3839819856e-04,-1.4099784045e+00
-2.2100000000e+02,-9.0682239331e-17,1.0040985152e-17,-6.3443063804e-04,-3.2638388993e-03,-2.5317964205e-05,-5.7367778326e-05,-6.3439607245e-04,-1.4099784045e+00
-2.1900000000e+02,-9.2370651972e-17,1.0409335689e-17,-6.3043063804e-04,-3.2638388993e-03,-3.3791084024e-05,-7.4373949348e-05,-6.3039610658e-04,-1.4099784045e+00
-2.1700000000e+02,-9.2992272141e-17,1.0822816722e-17,-6.2643063804e-04,-3.2638388993e-03,-4.4686389493e-05,-9.4467863027e-05,-6.2639930807e-04,-1.4099784045e+00
-2.1500000000e+02,-9.2576415368e-17,1.1276978311e-17,-6.2243063804e-04,-3.2638388993e-03,-5.8460538411e-05,-1.1742583364e-04,-6.2240666156e-04,-1.4099784045e+00
-2.1300000000e+02,-9.1165773343e-17,1.1766507313e-17,-6.1843063804e-04,-3.2638388993e-03,-7.5468599160e-05,-1.4267997448e-04,-6.1841907430e-04,-1.4099784045e+00
-2.1100000000e+02,-8.8762695039e-17,1.2286315337e-17,-6.1443063804e-04,-3.2638388993e-03,-9.5888809370e-05,-1.6898768340e-04,-6.1443775570e-04,-1.4099784045e+00
-2.0900000000e+02,-8.5572822110e-17,1.2824746199e-17,-6.1043063804e-04,-3.2638388993e-03,-1.1863173589e-04,-1.9408495796e-04,-6.1046253805e-04,-1.4099784045e+00
-2.0700000000e+02,-8.1708842265e-17,1.3373178234e-17,-6.0643063804e-04,-3.2638388993e-03,-1.4256235831e-04,-2.1536747330e-04,-6.0649392672e-04,-1.4099784045e+00
-2.0500000000e+02,-7.7288563311e-17,1.3922646009e-17,-6.0243063804e-04,-3.2638388993e-03,-1.6671388890e-04,-2.3009373570e-04,-6.0253314672e-04,-1.4099784045e+00
-2.0300000000e+02,-7.2407687667e-17,1.4462735935e-17,-5.9843063804e-04,-3.2638388993e-03,-1.9126693990e-04,-2.3545764336e-04,-5.9858343350e-04,-1.4099784045e+00
